unique_id,device_id,package,app_version,sdk_version,platform_version,brand,model,operators,network_type,lang,local_time_zone,screen_width,screen_height,screen_dpi,screen_orientation
1198,7bbc52fd65ba1650,org.rayacoin,48,31,12,samsung,SM-A025F,,4G,fa,Asia/Tehran,720,1471,280,
7776,4318e76f59ed3389,org.rayacoin,54,29,10,HUAWEI,STK-L21,,4G,fa,Asia/Tehran,1080,2340,480,
5853,bbf4f02cb8f47e4e,org.rayacoin,53,30,11,samsung,SM-A107F,,4G,fa,Asia/Tehran,720,1381,280,
7740,d94dd865ace59d0f,org.rayacoin,54,34,14,samsung,SM-A346E,,4G,fa,Asia/Tehran,1080,2130,450,
7307,a1b1fcbd886eba78,org.rayacoin,54,31,12,Xiaomi,M2102J20SG,,4G,fa,Asia/Tehran,1080,2265,440,
2445,f6b379b5d6207e5e,org.rayacoin,48,30,11,samsung,SM-A207F,,wifi,fa,Asia/Tehran,720,1422,280,
7891,44d3b39be5a5c2e5,org.rayacoin,54,28,9,samsung,SM-A307FN,,4G,fa,Asia/Tehran,720,1423,280,
4351,4ac49640afd2efc5,org.rayacoin,53,33,13,samsung,SM-A127F,,wifi,fa,Asia/Tehran,720,1461,320,
3244,48cbff925587754e,org.rayacoin,53,30,11,Xiaomi,RedmiNote8,,4G,fa,Asia/Tehran,1080,2130,440,
2712,8a1f525d43355263,org.rayacoin,51,30,11,Xiaomi,RedmiNote8T,['43235'],wifi,fa,Asia/Tehran,1080,2130,440,
2925,f97d67361e36e33f,org.rayacoin,53,33,13,samsung,SM-A127F,,wifi,fa,Asia/Tehran,720,1467,300,
903,08c152f2122b33a8,org.rayacoin,48,30,11,Xiaomi,220333QAG,,wifi,fa,Asia/Tehran,720,1569,320,
6999,92487c0953ef5e3e,org.rayacoin,54,28,9,samsung,SM-J600F,,4G,fa,Asia/Tehran,720,1372,360,
1538,65c1f10c5e6bc445,org.rayacoin,48,30,11,samsung,SM-A107F,,4G,fa,Asia/Tehran,720,1439,280,
7421,62c5a45b35a15e79,org.rayacoin,54,30,11,samsung,SM-A305F,,4G,fa,Asia/Tehran,1080,2131,420,
589,79e4bda0aa393621,org.rayacoin,48,33,13,samsung,SM-M336BU,,4G,fa,Asia/Tehran,1080,2207,450,
108,d99867e08850c322,org.rayacoin,53,30,11,Xiaomi,2201116TG,,4G,fa,Asia/Tehran,1080,2180,440,
7088,67f6ef58cc8443b5,org.rayacoin,53,29,10,HUAWEI,AQM-LX1,,4G,fa,Asia/Tehran,1080,2198,480,
8116,405501f56a6f4fed,org.rayacoin,45,31,12,samsung,SM-A125F,,wifi,fa,Asia/Tehran,720,1459,320,
2899,d3ec14a80414f7da,org.rayacoin,48,31,12,samsung,SM-A325F,,3G,fa,Asia/Tehran,1080,2194,420,
5051,3db0bb542b3351e0,org.rayacoin,53,30,11,Xiaomi,RedmiNote9S,,wifi,fa,Asia/Tehran,1080,2254,440,
7733,42cd83b8e8dea077,org.rayacoin,54,34,14,samsung,SM-A356E,,wifi,fa,Asia/Tehran,1080,2209,450,
294,4ec647f1e211841d,org.rayacoin,53,33,13,samsung,SM-A235F,,4G,fa,Asia/Tehran,1080,2207,450,
6449,714716fe643caf79,org.rayacoin,53,34,14,Xiaomi,23021RAAEG,,wifi,fa,Asia/Tehran,1080,2262,440,
5366,06a82d86772d0a86,org.rayacoin,45,26,8.0.0,samsung,SM-A520F,,wifi,fa,Asia/Tehran,1080,1920,420,
3771,bb4c14ebe9114749,org.rayacoin,53,34,14,samsung,SM-A528B,,4G,fa,Asia/Tehran,1080,2186,420,
3226,747fb167c9a911ee,org.rayacoin,52,23,6.0.1,samsung,SM-G532F,,4G,fa,Asia/Tehran,540,960,240,
5088,cea1da38aca3cf72,org.rayacoin,53,30,11,Xiaomi,2201117TG,,wifi,fa,Asia/Tehran,1080,2177,440,
1606,19e699e77658fea6,org.rayacoin,45,29,10,samsung,SM-A750GN,,wifi,fa,Asia/Tehran,1080,2094,420,
5197,26955065176d2cb5,org.rayacoin,53,31,12,samsung,SM-A125F,,wifi,fa,Asia/Tehran,720,1465,300,
7763,194d78523cf11c5a,org.rayacoin,54,34,14,samsung,SM-A245F,,3G,fa,Asia/Tehran,1080,2128,450,
7729,ba538ab6b2cc2bbc,org.rayacoin,54,30,11,samsung,SM-A505F,,4G,fa,Asia/Tehran,1080,2218,420,
5006,b64f34e4d2da2b36,org.rayacoin,53,31,12,samsung,SM-A217F,,3G,fa,Asia/Tehran,720,1504,300,
2330,341cb2bb39f62977,org.rayacoin,48,33,13,samsung,SM-A035F,,4G,fa,Asia/Tehran,720,1471,280,
4791,e9e8d5a2fb98066c,org.rayacoin,53,30,11,Xiaomi,2201116PG,,4G,fa,Asia/Tehran,1080,2266,440,
6258,52a2bd2c1fca0416,org.rayacoin,53,33,13,HONOR,CMA-LX2,,4G,fa,Asia/Tehran,720,1474,320,
6057,b99f65de2e8297b4,org.rayacoin,53,34,14,samsung,SM-A055F,,wifi,fa,Asia/Tehran,720,1451,300,
5123,4b984762d3005d03,org.rayacoin,53,29,10,samsung,SM-A013G,,4G,fa,Asia/Tehran,720,1384,320,
113,e8c9531cfb76b760,org.rayacoin,38,31,12,samsung,SM-A515F,,4G,fa,Asia/Tehran,1080,2182,432,
5847,60c44c7322873fed,org.rayacoin,53,33,13,samsung,SM-A145F,,wifi,fa,Asia/Tehran,1080,2209,450,
2493,a9df14fc3e2dc117,org.rayacoin,53,33,13,Xiaomi,23028RNCAG,,4G,fa,Asia/Tehran,720,1460,320,
1673,45089ac3cb3ca063,org.rayacoin,48,27,8.1.0,Xiaomi,RedmiGo,,wifi,fa,Asia/Tehran,720,1280,320,
267,36aebc2d8a304fcb,org.rayacoin,53,30,11,Xiaomi,M2006C3LG,,4G,fa,Asia/Tehran,720,1449,320,
5979,55bce8b738cd8c79,org.rayacoin,53,30,11,Xiaomi,M2103K19PG,,wifi,fa,Asia/Tehran,1080,2167,440,
7397,b7c1707b11ab5a75,org.rayacoin,54,34,14,samsung,SM-G990E,,4G,fa,Asia/Tehran,1080,2115,420,
4048,3ef83231af064e00,org.rayacoin,53,33,13,samsung,SM-A235F,,4G,fa,Asia/Tehran,1080,2207,450,
97,93cbf0adb2500e83,org.rayacoin,34,31,12,samsung,SM-A037F,['43235'],4G,fa,Asia/Tehran,720,1465,300,
3729,d9339f4b4761ccb7,org.rayacoin,53,31,12,samsung,SM-A426B,,4G,fa,Asia/Tehran,720,1440,360,
3670,ce6579a4b15eed33,org.rayacoin,53,31,12,samsung,SM-A315F,,4G,fa,Asia/Tehran,1080,2186,450,
1052,1f34340e74a52a84,org.rayacoin,48,30,11,samsung,SM-A127F,,2G,fa,Asia/Tehran,720,1467,300,
2787,f43307f8348b9e0e,org.rayacoin,48,33,13,samsung,SM-A235F,,4G,fa,Asia/Tehran,1080,2207,450,
5674,a00927559f6a5736,org.rayacoin,53,33,13,Xiaomi,21091116UG,,4G,fa,Asia/Tehran,1080,2190,440,
2861,dcb7bc078302b938,org.rayacoin,53,30,11,Xiaomi,RedmiNote9S,['43235'],wifi,fa,Asia/Tehran,1080,2168,440,
897,8269e89bee890d08,org.rayacoin,37,30,11,samsung,SM-A705FN,,4G,fa,Asia/Tehran,1080,2285,420,
4578,6cd0ba954935003e,org.rayacoin,53,23,6.0.1,samsung,SM-J500F,,3G,fa,Asia/Tehran,720,1280,320,
8266,63eedc81392daa17,org.rayacoin,53,30,11,samsung,SM-M115F,,wifi,fa,Asia/Tehran,720,1411,280,
4312,af21716397c50ce2,org.rayacoin,53,23,6.0.1,samsung,SM-J510FN,,wifi,fa,Asia/Tehran,720,1280,320,
