unique_id,gender,age,height,weight
1,male,1383,176,55.0
2,male,1371,179,75.0
3,male,1375,170,609.0
4,male,1337,175,88.0
5,female,1362,190,89.0
6,male,1389,170,40.0
7,male,1388,147,46.0
8,male,1388,180,52.0
9,male,1392,140,39.0
10,male,1320,111,62.0
11,male,1389,162,62.0
12,male,1389,180,65.0
13,male,1390,170,41.0
14,male,1385,162,70.0
15,male,1388,140,30.0
16,male,1385,176,60.0
17,male,1366,178,80.0
18,male,1388,140,60.0
19,female,1386,154,50.0
20,male,1386,184,70.0
21,male,1389,150,45.0
22,female,1373,163,55.0
23,male,1365,175,80.0
24,male,1361,175,78.0
25,male,1390,152,47.0
26,male,1386,170,55.0
27,female,1378,157,66.0
28,female,1388,168,52.0
29,male,1386,173,60.0
30,female,1351,160,75.0
31,male,1383,187,83.0
32,male,1373,176,72.0
33,male,1351,163,77.0
34,male,1375,123,57.0
35,female,1356,160,83.0
36,female,1360,168,74.0
37,female,1364,162,82.0
38,male,1386,157,50.0
39,male,1391,145,44.0
40,male,1390,120,60.0
41,male,1383,170,75.0
42,male,1355,178,87.0
43,male,1366,167,60.0
44,male,1388,170,40.0
45,male,1380,175,62.0
46,male,1388,158,48.0
47,female,1380,160,45.0
48,male,1389,171,65.0
49,male,1383,185,54.0
50,male,1382,176,68.0
51,male,1384,180,90.0
52,male,1388,165,80.0
53,male,1378,182,74.0
54,male,1387,170,70.0
55,male,1388,160,41.0
56,female,1383,169,71.0
57,male,1366,170,5353.0
58,male,1390,155,65.0
59,female,1357,175,95.0
60,female,1373,161,57.0
61,male,1364,175,95.0
62,male,1363,178,75.0
63,male,1369,178,75.0
64,male,1369,178,68.0
65,male,1390,145,40.0
66,male,1386,179,46.0
67,male,1383,175,59.0
68,male,1381,184,80.0
69,male,1377,185,90.0
70,male,1380,180,69.0
71,male,1383,184,67.0
72,male,1388,172,52.0
73,female,1385,165,50.0
74,male,1388,170,70.0
75,female,1383,156,70.0
76,male,1374,166,45.0
77,male,1374,172,88.0
78,male,1366,173,68.0
79,female,1382,160,78.0
80,female,1383,170,90.0
81,male,1375,164,75.0
82,male,1389,162,43.0
83,male,1383,174,65.0
84,male,1368,175,80.0
85,male,1388,172,68.0
86,male,1390,140,35.0
87,male,1373,180,70.0
88,male,1360,180,83.0
89,female,1388,162,53.0
90,male,1384,184,94.0
91,male,1372,171,95.0
92,male,1385,186,41.0
93,male,1379,183,76.0
94,male,1391,142,33.0
95,male,1377,178,120.0
96,female,1385,172,68.0
97,male,1385,178,88.0
98,male,1377,180,60.0
99,male,1384,178,58.0
100,male,1374,170,65.0
101,female,1380,154,77.0
102,male,1360,176,90.0
103,male,1375,185,70.0
104,female,1384,160,39.0
105,male,1375,182,70.0
106,male,1368,183,68.0
107,male,1378,180,77.0
108,male,1386,164,45.0
109,male,1384,190,70.0
110,male,1391,148,54.0
111,female,1381,170,85.0
112,male,1388,175,80.0
